Country,Education,Experience,Age,Salary
France,Master’s degree,2.0,25-34 years old,38915.0
United States,Bachelor’s degree,5.0,25-34 years old,130000.0
Canada,Post grad,8.0,35-44 years old,151263.0
United States,Post grad,1.0,25-34 years old,100000.0
Italy,Master’s degree,2.0,25-34 years old,14268.0
Canada,Master’s degree,5.0,35-44 years old,63530.0
United States,Bachelor’s degree,4.0,18-24 years old,98500.0
Switzerland,Master’s degree,6.0,25-34 years old,43908.0
United Kingdom,Post grad,22.0,45-54 years old,71093.0
Canada,Master’s degree,3.0,35-44 years old,98321.0
Italy,Less than a Bachelors,14.0,35-44 years old,54049.0
United States,Master’s degree,9.0,25-34 years old,70000.0
Australia,Master’s degree,2.0,35-44 years old,96874.0
United Kingdom,Bachelor’s degree,14.0,35-44 years old,103408.0
Netherlands,Master’s degree,5.0,25-34 years old,51888.0
Canada,Master’s degree,6.0,25-34 years old,68068.0
India,Bachelor’s degree,5.0,25-34 years old,217800.0
United Kingdom,Less than a Bachelors,21.0,35-44 years old,60752.0
United States,Post grad,6.0,35-44 years old,90000.0
Switzerland,Master’s degree,7.0,25-34 years old,81319.0
United States,Bachelor’s degree,4.0,35-44 years old,85000.0
Canada,Less than a Bachelors,5.0,18-24 years old,31750.0
United States,Bachelor’s degree,19.0,35-44 years old,65000.0
Spain,Post grad,20.0,35-44 years old,64859.0
France,Master’s degree,5.0,25-34 years old,36753.0
Netherlands,Master’s degree,4.0,25-34 years old,46482.0
Italy,Master’s degree,3.0,25-34 years old,35672.0
India,Bachelor’s degree,7.0,25-34 years old,134028.0
Germany,Less than a Bachelors,18.0,35-44 years old,54049.0
Germany,Bachelor’s degree,7.0,25-34 years old,43239.0
United States,Bachelor’s degree,20.0,35-44 years old,130000.0
United States,Bachelor’s degree,9.0,45-54 years old,96000.0
Canada,Less than a Bachelors,25.0,45-54 years old,68068.0
United States,Less than a Bachelors,4.0,35-44 years old,55702.0
United States,Bachelor’s degree,13.0,25-34 years old,155000.0
United States,Bachelor’s degree,35.0,45-54 years old,70000.0
Germany,Master’s degree,10.0,35-44 years old,77832.0
Canada,Bachelor’s degree,5.0,25-34 years old,77900.0
Italy,Less than a Bachelors,6.0,25-34 years old,32429.0
Italy,Master’s degree,3.0,25-34 years old,32429.0
United States,Bachelor’s degree,25.0,45-54 years old,160000.0
United States,Post grad,7.0,25-34 years old,135000.0
Brazil,Master’s degree,4.0,25-34 years old,180000.0
United Kingdom,Master’s degree,2.0,25-34 years old,74970.0
Germany,Bachelor’s degree,2.0,18-24 years old,54049.0
Germany,Master’s degree,7.0,25-34 years old,81074.0
United States,Less than a Bachelors,10.0,35-44 years old,200000.0
United States,Master’s degree,7.0,25-34 years old,300000.0
Germany,Master’s degree,15.0,35-44 years old,175119.0
United Kingdom,Master’s degree,30.0,55-64 years old,193889.0
Netherlands,Master’s degree,7.0,25-34 years old,60535.0
United States,Master’s degree,7.0,25-34 years old,160000.0
France,Master’s degree,3.0,25-34 years old,48644.0
Brazil,Bachelor’s degree,3.0,25-34 years old,18326.0
United Kingdom,Master’s degree,6.0,25-34 years old,129259.0
Italy,Master’s degree,8.0,35-44 years old,64859.0
Italy,Master’s degree,3.0,25-34 years old,25944.0
United States,Bachelor’s degree,1.0,18-24 years old,65000.0
Canada,Bachelor’s degree,3.0,25-34 years old,31400.0
Brazil,Master’s degree,12.0,35-44 years old,30240.0
Poland,Master’s degree,5.0,25-34 years old,66828.0
United Kingdom,Master’s degree,0.5,18-24 years old,38778.0
United States,Master’s degree,13.0,35-44 years old,105000.0
United States,Master’s degree,10.0,25-34 years old,275000.0
United States,Bachelor’s degree,31.0,65 years or older,82000.0
United States,Bachelor’s degree,5.0,25-34 years old,76000.0
India,Bachelor’s degree,1.0,18-24 years old,25131.0
Poland,Master’s degree,7.0,35-44 years old,15192.0
India,Master’s degree,10.0,25-34 years old,25131.0
Netherlands,Master’s degree,21.0,45-54 years old,81074.0
United States,Bachelor’s degree,8.0,25-34 years old,150000.0
United Kingdom,Master’s degree,4.0,25-34 years old,77556.0
Germany,Master’s degree,3.0,25-34 years old,40212.0
Italy,Less than a Bachelors,22.0,35-44 years old,23352.0
United Kingdom,Master’s degree,2.0,25-34 years old,64630.0
Germany,Post grad,2.0,35-44 years old,108098.0
Switzerland,Bachelor’s degree,16.0,35-44 years old,142308.0
Italy,Master’s degree,1.0,25-34 years old,10810.0
Italy,Master’s degree,3.0,25-34 years old,23782.0
United Kingdom,Less than a Bachelors,9.0,45-54 years old,51704.0
France,Post grad,8.0,35-44 years old,43239.0
United States,Bachelor’s degree,2.0,25-34 years old,70000.0
Canada,Less than a Bachelors,10.0,35-44 years old,50673.0
France,Master’s degree,1.0,18-24 years old,45401.0
Germany,Post grad,3.0,35-44 years old,75669.0
Spain,Bachelor’s degree,6.0,25-34 years old,28536.0
United States,Post grad,6.0,25-34 years old,125000.0
France,Master’s degree,2.0,18-24 years old,54049.0
Poland,Less than a Bachelors,1.0,Under 18 years old,10020.0
India,Bachelor’s degree,6.0,25-34 years old,16754.0
Italy,Post grad,10.0,25-34 years old,45401.0
United Kingdom,Master’s degree,7.0,25-34 years old,270000.0
United Kingdom,Master’s degree,5.0,25-34 years old,38778.0
Italy,Less than a Bachelors,18.0,35-44 years old,86478.0
Netherlands,Bachelor’s degree,5.0,25-34 years old,59454.0
Canada,Master’s degree,1.0,25-34 years old,51429.0
Spain,Master’s degree,4.0,25-34 years old,25944.0
United Kingdom,Post grad,7.0,25-34 years old,161574.0
United States,Master’s degree,20.0,55-64 years old,130000.0
Canada,Bachelor’s degree,11.0,25-34 years old,74497.0
Germany,Bachelor’s degree,3.0,25-34 years old,67452.0
Spain,Post grad,7.0,25-34 years old,28105.0
Brazil,Bachelor’s degree,8.0,25-34 years old,41232.0
United States,Master’s degree,9.0,35-44 years old,86000.0
United Kingdom,Bachelor’s degree,10.0,35-44 years old,129250.0
United States,Bachelor’s degree,5.0,25-34 years old,50000.0
Germany,Master’s degree,4.0,25-34 years old,73511.0
Netherlands,Post grad,4.0,25-34 years old,37834.0
United States,Master’s degree,6.0,25-34 years old,200000.0
United States,Bachelor’s degree,15.0,35-44 years old,89000.0
United States,Master’s degree,5.0,25-34 years old,125000.0
Canada,Bachelor’s degree,15.0,35-44 years old,75631.0
United States,Bachelor’s degree,1.0,18-24 years old,18000.0
Spain,Less than a Bachelors,5.0,25-34 years old,19452.0
Germany,Master’s degree,7.0,25-34 years old,86478.0
United States,Bachelor’s degree,10.0,45-54 years old,50000.0
Switzerland,Master’s degree,20.0,35-44 years old,152473.0
United Kingdom,Post grad,9.0,35-44 years old,94359.0
United States,Bachelor’s degree,3.0,25-34 years old,100000.0
India,Bachelor’s degree,1.0,18-24 years old,11724.0
United Kingdom,Post grad,10.0,45-54 years old,139600.0
United States,Post grad,19.0,45-54 years old,160000.0
United States,Bachelor’s degree,2.0,25-34 years old,100000.0
United Kingdom,Post grad,10.0,35-44 years old,125000.0
India,Bachelor’s degree,0.5,18-24 years old,41885.0
United States,Less than a Bachelors,4.0,25-34 years old,40000.0
Canada,Bachelor’s degree,22.0,35-44 years old,40085.0
Netherlands,Master’s degree,13.0,35-44 years old,216196.0
Italy,Less than a Bachelors,3.0,18-24 years old,25944.0
United States,Less than a Bachelors,4.0,35-44 years old,50000.0
United States,Post grad,5.0,25-34 years old,32000.0
Germany,Master’s degree,10.0,25-34 years old,58373.0
Switzerland,Master’s degree,6.0,25-34 years old,76237.0
France,Master’s degree,3.0,25-34 years old,50806.0
United States,Master’s degree,10.0,25-34 years old,98000.0
France,Master’s degree,9.0,25-34 years old,29184.0
Poland,Master’s degree,3.0,25-34 years old,25824.0
Italy,Master’s degree,3.0,25-34 years old,34591.0
Netherlands,Master’s degree,11.0,25-34 years old,82155.0
Canada,Less than a Bachelors,10.0,35-44 years old,83194.0
United Kingdom,Master’s degree,2.0,35-44 years old,51704.0
United States,Bachelor’s degree,1.0,25-34 years old,50000.0
Poland,Master’s degree,10.0,25-34 years old,36444.0
France,Post grad,2.0,25-34 years old,32424.0
Italy,Less than a Bachelors,5.0,18-24 years old,24000.0
United Kingdom,Bachelor’s degree,5.0,25-34 years old,36193.0
United States,Master’s degree,3.0,25-34 years old,117000.0
Switzerland,Bachelor’s degree,25.0,35-44 years old,177885.0
Netherlands,Master’s degree,2.0,18-24 years old,59454.0
Brazil,Bachelor’s degree,10.0,25-34 years old,16488.0
United States,Master’s degree,16.0,35-44 years old,150000.0
Canada,Bachelor’s degree,5.0,55-64 years old,22692.0
Canada,Master’s degree,5.0,25-34 years old,68068.0
United States,Master’s degree,0.5,18-24 years old,109000.0
France,Master’s degree,5.0,25-34 years old,48644.0
Canada,Post grad,11.0,35-44 years old,151263.0
United Kingdom,Post grad,11.0,35-44 years old,77556.0
United States,Bachelor’s degree,3.0,18-24 years old,85000.0
Spain,Bachelor’s degree,11.0,35-44 years old,68642.0
United States,Master’s degree,8.0,25-34 years old,240000.0
United States,Post grad,1.0,25-34 years old,100000.0
United States,Master’s degree,5.0,25-34 years old,140000.0
United States,Master’s degree,15.0,45-54 years old,75000.0
United Kingdom,Less than a Bachelors,14.0,35-44 years old,36193.0
United States,Master’s degree,3.0,25-34 years old,300000.0
United States,Less than a Bachelors,30.0,45-54 years old,110000.0
United States,Post grad,8.0,35-44 years old,107990.0
United States,Master’s degree,3.0,25-34 years old,108675.0
Germany,Master’s degree,7.0,25-34 years old,64805.0
United States,Bachelor’s degree,17.0,35-44 years old,100000.0
France,Post grad,10.0,25-34 years old,51888.0
United States,Post grad,3.0,35-44 years old,175000.0
Poland,Post grad,10.0,35-44 years old,13968.0
Germany,Master’s degree,12.0,25-34 years old,84312.0
United States,Bachelor’s degree,1.0,25-34 years old,55000.0
France,Master’s degree,7.0,25-34 years old,47023.0
Canada,Bachelor’s degree,15.0,35-44 years old,151263.0
United States,Post grad,14.0,35-44 years old,150000.0
Germany,Master’s degree,2.0,25-34 years old,37188.0
United States,Less than a Bachelors,32.0,45-54 years old,80000.0
United States,Bachelor’s degree,5.0,25-34 years old,130000.0
Germany,Post grad,20.0,45-54 years old,155664.0
Brazil,Post grad,3.0,25-34 years old,58167.0
Germany,Bachelor’s degree,12.0,25-34 years old,73507.0
United States,Bachelor’s degree,8.0,25-34 years old,130000.0
United States,Master’s degree,5.0,25-34 years old,145000.0
Poland,Master’s degree,36.0,55-64 years old,45564.0
United States,Master’s degree,23.0,35-44 years old,165000.0
United States,Bachelor’s degree,3.0,25-34 years old,200000.0
United Kingdom,Master’s degree,4.0,35-44 years old,31020.0
United States,Less than a Bachelors,8.0,35-44 years old,97000.0
Netherlands,Master’s degree,25.0,35-44 years old,77832.0
United States,Bachelor’s degree,4.0,25-34 years old,74000.0
Germany,Master’s degree,5.0,25-34 years old,91883.0
United States,Bachelor’s degree,4.0,25-34 years old,200000.0
India,Bachelor’s degree,2.0,25-34 years old,29320.0
Germany,Master’s degree,11.0,35-44 years old,86478.0
India,Bachelor’s degree,4.0,25-34 years old,20100.0
India,Bachelor’s degree,7.0,25-34 years old,10896.0
United Kingdom,Bachelor’s degree,28.0,45-54 years old,115041.0
Brazil,Bachelor’s degree,18.0,35-44 years old,41232.0
United States,Post grad,11.0,35-44 years old,72000.0
Poland,Master’s degree,6.0,25-34 years old,45564.0
United States,Bachelor’s degree,20.0,45-54 years old,175000.0
United States,Bachelor’s degree,6.0,25-34 years old,90000.0
United States,Master’s degree,7.0,25-34 years old,110000.0
Brazil,Less than a Bachelors,15.0,35-44 years old,38621.0
United States,Master’s degree,24.0,45-54 years old,165000.0
United States,Master’s degree,2.0,18-24 years old,25000.0
Canada,Less than a Bachelors,6.0,25-34 years old,124792.0
United States,Master’s degree,0.5,25-34 years old,50000.0
United States,Bachelor’s degree,40.0,55-64 years old,137000.0
United States,Post grad,6.0,35-44 years old,100000.0
Canada,Master’s degree,2.0,25-34 years old,46891.0
United States,Less than a Bachelors,19.0,35-44 years old,125000.0
United States,Bachelor’s degree,3.0,35-44 years old,60000.0
Switzerland,Master’s degree,1.0,18-24 years old,116896.0
United States,Bachelor’s degree,26.0,45-54 years old,120000.0
United Kingdom,Post grad,12.0,35-44 years old,71093.0
Italy,Less than a Bachelors,20.0,45-54 years old,41077.0
Italy,Post grad,4.0,25-34 years old,33732.0
India,Bachelor’s degree,3.0,18-24 years old,13962.0
Netherlands,Master’s degree,10.0,25-34 years old,70264.0
United States,Master’s degree,25.0,45-54 years old,215000.0
Canada,Post grad,3.0,25-34 years old,109665.0
United States,Master’s degree,3.0,25-34 years old,92000.0
United States,Less than a Bachelors,2.0,25-34 years old,40000.0
Germany,Bachelor’s degree,12.0,35-44 years old,92964.0
Spain,Master’s degree,9.0,35-44 years old,75669.0
United Kingdom,Master’s degree,2.0,25-34 years old,103408.0
United States,Bachelor’s degree,5.0,25-34 years old,105000.0
India,Bachelor’s degree,0.5,18-24 years old,19128.0
Switzerland,Post grad,2.0,25-34 years old,106731.0
Canada,Master’s degree,4.0,25-34 years old,80000.0
Canada,Master’s degree,5.0,25-34 years old,64287.0
United States,Bachelor’s degree,6.0,25-34 years old,52000.0
United States,Master’s degree,6.0,25-34 years old,125000.0
United States,Master’s degree,10.0,25-34 years old,120000.0
United States,Bachelor’s degree,28.0,45-54 years old,150000.0
United States,Less than a Bachelors,19.0,35-44 years old,150000.0
United States,Master’s degree,5.0,35-44 years old,50000.0
United States,Master’s degree,2.0,25-34 years old,60000.0
Spain,Master’s degree,14.0,35-44 years old,192415.0
United States,Less than a Bachelors,21.0,35-44 years old,144000.0
United States,Master’s degree,5.0,25-34 years old,101000.0
Netherlands,Master’s degree,3.0,25-34 years old,49296.0
Italy,Less than a Bachelors,1.0,18-24 years old,14268.0
Brazil,Master’s degree,6.0,25-34 years old,16488.0
United States,Bachelor’s degree,11.0,25-34 years old,155000.0
Canada,Master’s degree,12.0,35-44 years old,151250.0
Germany,Post grad,7.0,35-44 years old,108098.0
United States,Master’s degree,22.0,45-54 years old,95000.0
United States,Master’s degree,19.0,35-44 years old,145000.0
United States,Less than a Bachelors,4.0,18-24 years old,93000.0
United States,Post grad,6.0,35-44 years old,250000.0
Germany,Post grad,15.0,35-44 years old,41508.0
Poland,Master’s degree,10.0,25-34 years old,51636.0
